year_month,total_revenue,total_orders,avg_order_value
2016-10,61746.94,265,197.27456869009586
2016-12,19.62,1,19.62
2017-01,176491.49,750,193.30940854326394
2017-02,325371.31,1650,175.40232345013476
2017-03,502815.22,2535,174.28603812824954
2017-04,454809.22000000003,2296,177.5904802811402
2017-05,698688.35,3538,174.93448923385077
2017-06,584727.15,3132,167.78397417503587
2017-07,715875.5,3871,162.1462061155153
2017-08,842689.94,4193,175.67019804044193
2017-09,996207.31,4149,210.34782728040543
2017-10,998609.62,4478,191.52466820099733
2017-11,1546418.58,7282,182.61910486537553
2017-12,1019380.0,5511,164.8148746968472
2018-01,1371378.22,7066,170.69681603186459
2018-02,1278529.91,6550,170.1756834819646
2018-03,1435458.33,7003,179.05180616190597
2018-04,1466607.15,6798,187.3779417401303
2018-05,1480368.53,6746,189.62066478801077
2018-06,1280653.18,6092,183.00274078308087
2018-07,1306707.42,6156,187.74531896551724
2018-08,1211240.09,6351,169.59396387566508
